Estación:       P. ALLENDE,  GTO
Operada por:    SMN EMAS
Longitud:       100°49'29"  Latitud: 20°50'54"  Altitud: 1915

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RAD-SOL
28/01/2019 20:00       288       300      0.53      2.20      22.8        16     815.1       0.0     786.7
28/01/2019 21:00       251       259      0.27      2.20      23.3        16     814.4       0.0     638.0
28/01/2019 22:00       281       243      0.27      2.20      23.7        15     814.0       0.0     441.0
28/01/2019 23:00         0       243      0.00      0.00      23.2        16     814.0       0.0     202.5
29/01/2019 00:00         0       243      0.00      0.00      20.5        16     814.5       0.0      19.5
29/01/2019 01:00         0       243      0.00      0.00      16.5        24     815.0       0.0       0.0
29/01/2019 02:00         0       243      0.00      0.00      15.7        30     815.9       0.0       0.0
29/01/2019 03:00         0       243      0.00      0.00      14.1        35     816.5       0.0       0.0
29/01/2019 04:00         0       243      0.00      0.00      13.6        31     816.8       0.0       0.0
29/01/2019 05:00         0       243      0.00      0.00      13.9        31     817.2       0.0       0.0
29/01/2019 06:00       194       189      0.27      2.20      14.4        30     817.3       0.0       0.0
29/01/2019 07:00         0       189      0.00      0.00      13.8        32     817.5       0.0       0.0
29/01/2019 08:00         0       189      0.00      0.00      12.9        36     817.5       0.0       0.0
29/01/2019 09:00         0       189      0.00      0.00      11.1        45     817.4       0.0       0.0
29/01/2019 10:00         0       189      0.00      0.00       9.5        51     817.4       0.0       0.0
29/01/2019 11:00         0       189      0.00      0.00       7.2        56     817.7       0.0       0.0
29/01/2019 12:00         0       189      0.00      0.00       5.8        55     818.3       0.0       0.0
29/01/2019 13:00         0       189      0.00      0.00       4.9        56     818.8       0.0      11.0
29/01/2019 14:00         0       189      0.00      0.00       8.5        44     819.4       0.0     188.5
29/01/2019 15:00         0       189      0.00      0.00      10.2        42     819.8       0.0     413.3
29/01/2019 16:00         0       189      0.00      0.00      12.5        40     819.9       0.0     608.7
29/01/2019 17:00         0       189      0.00      0.00      14.8        38     819.1       0.0     764.7
29/01/2019 18:00         0       189      0.00      0.00      17.9        34     817.8       0.0     830.7
29/01/2019 19:00         0       189      0.00      0.00      19.9        30     816.5       0.0     824.0
29/01/2019 20:00         0       238      0.00      2.20      22.0        23     815.4       0.0     752.3
29/01/2019 21:00         0       238      0.00      0.00      22.7        19     814.6       0.0     619.0
